key,context,en,sq,it
,,,,
# UI CHROME — messages/*.json,,,,
,,,,
category.cocktails,Tab label — cocktail category,Cocktails,,
category.food,Tab label — food category,Food,,
,,,,
taste.bitter,Cocktail taste tab,Bitter,,
taste.sour,Cocktail taste tab,Sour,,
taste.sweet,Cocktail taste tab,Sweet,,
taste.spicy,Cocktail taste tab,Spicy,,
taste.zero,Cocktail taste tab — no alcohol,No alcohol,,
,,,,
food.pizza,Food tab,Pizza,,
food.burgers,Food tab,Burgers,,
food.sharing,Food tab,Sharing,,
,,,,
pick.label,Eyebrow label on Brothers recommend plaque,Brothers recommend,,
,,,,
pizza_note.bold,Bold prefix in pizza timing notice,Made to order.,,
pizza_note.text,Full pizza timing notice (bold prefix included separately above),Our pizzas come 5 to 7 minutes from the oven. Worth the small wait.,,
,,,,
legend.title,Title of onboarding legend sheet,How to read this menu,,
legend.sub,"Subtitle of legend sheet, \n = line break","We sort by taste, not by name.\nHere is what the marks mean.",,
legend.bitter_name,Legend row — icon label,Bitter,,
legend.bitter_desc,Legend row — right-side descriptor,bitterness,,
legend.sour_name,Legend row — icon label,Sour,,
legend.sour_desc,Legend row — right-side descriptor,sourness,,
legend.sweet_name,Legend row — icon label,Sweet,,
legend.sweet_desc,Legend row — right-side descriptor,sweetness,,
legend.marks_name,Legend row — icon label,Marks,,
legend.marks_desc,Legend row — right-side descriptor,intensity,,
legend.olive_name,Legend row — icon label,Olive,,
legend.olive_desc,Legend row — right-side descriptor,signature ones,,
legend.loved_name,Legend row — icon label,Loved here,,
legend.loved_desc,Legend row — right-side descriptor,bestsellers,,
legend.cta,Button on legend sheet — closes it,Got it,,
,,,,
cart.show_waiter,CartBar button label,Show your waiter,,
cart.open_list,Heading inside the cart sheet,Show this to your waiter,,
cart.keep_browsing,Button inside cart sheet — closes it,Keep browsing,,
cart.total_label,Label above the total amount,Total · Lekë,,
cart.clear,Button inside cart sheet — clears order,Clear order,,
,,,,
pairing.drink_label,"Label above pairing list in cocktail detail sheet (""What this drink loves on the plate:"")",What this drink loves on the plate:,,
pairing.plate_label,"Label above pairing list in food detail sheet (""What this plate loves in a glass:"")",What this plate loves in a glass:,,
,,,,
footer.powered,Footer text at bottom of menu list,powered by Ospitalitta,,
,,,,
# VENUE CONFIG STRINGS — lib/menu-repo.ts,,,,
,,,,
onboarding.prices_note,"Shown at bottom of legend sheet. Venue-specific — depends on country/currency. BB = Lekë, other venues may differ.",Prices in Lekë,,
,,,,
# SECTION LABELS + SUBTITLES — menu_section.i18n,,,,
,,,,
section.bitter.label,Tab label (same as taste.bitter — both needed if DB splits them),Bitter,,
section.bitter.sub,Subtitle shown under the taste tab heading,Grown-up and bittersweet the before-dinner ones,,
section.sour.label,Tab label,Sour,,
section.sour.sub,Subtitle,Bright and sharp wakes you up,,
section.sweet.label,Tab label,Sweet,,
section.sweet.sub,Subtitle,Fruit-forward and easy the crowd-pleasers,,
section.spicy.label,Tab label,Spicy,,
section.spicy.sub,Subtitle,A little heat,,
section.zero.label,Tab label,Zero,,
section.zero.sub,Subtitle,No alcohol same hands same care,,
section.pizza.label,Food tab label,Pizza,,
section.pizza.sub,Subtitle (currently empty for BB — leave blank if none),,,
section.burgers.label,Food tab label,Burgers,,,
section.burgers.sub,Subtitle (currently empty for BB),,,
section.sharing.label,Food tab label,Sharing,,,
section.sharing.sub,Subtitle (currently empty for BB),,,
,,,,
# TASTE WHY — tasteWhy tooltip (lead + post wrap around {name}),,,,
# Rendered as: "{lead} {name}{post}",,,,
# Example bitter: "Bitter holds its own. Brothers Spritz stands up to a loaded pizza and cuts the richness.",,,,
,,,,
tasteWhy.bitter.lead,"First sentence of tooltip. Stands alone, ends with period.",Bitter holds its own.,,
tasteWhy.bitter.post,"Continues after cocktail name — note leading space. E.g.: "" stands up to…""", stands up to a loaded pizza and cuts the richness.,,
tasteWhy.sour.lead,First sentence,Sour cuts the fat.,,
tasteWhy.sour.post,Continues after cocktail name — note leading space., slices through the cheese and resets your palate between bites.,,
tasteWhy.sweet.lead,First sentence,Sweet cools the heat.,,
tasteWhy.sweet.post,Continues after cocktail name — note leading space., balances a salty or spicy slice and a Diavola loves it.,,
,,,,
# PAIRING WISDOM — cocktail_dish_pair.wisdom_i18n,,,,
# One string per cocktail. Shown in cocktail detail sheet above the paired dish list.,,,,
# These do NOT contain cocktail name placeholders — they are standalone.,,,,
,,,,
pairing.wisdom.aperol-spritz,Wisdom shown in Aperol Spritz detail,A little bitterness and the bubbles cut straight through fat. The classic aperitivo board never misses.,,
pairing.wisdom.campari-spritz,Wisdom shown in Campari Spritz detail,Sharper and redder it stands up to the saltiest richest bites on the table.,,
pairing.wisdom.sbagliato,Wisdom shown in Sbagliato detail,Bubbles cleanse bitterness balances fat and the umami of mushroom finds the Campari.,,
pairing.wisdom.americano,Wisdom shown in Americano detail,Long and easy on the palate it leaves room for one more slice.,,
pairing.wisdom.negroni,Wisdom shown in Negroni detail,Bitter cuts straight through rich cheese and fat. The heavy plate likes the intense glass.,,
pairing.wisdom.negroni-fico,Wisdom shown in Negroni Fico detail,Fig and rosemary find the rind of a salty cheese and make friends.,,
pairing.wisdom.barrel-aged-coconut-negroni,Wisdom shown in Barrel-Aged Coconut Negroni detail,A month in oak gives it real body so give it a plate with weight. Smoke likes the intense.,,
pairing.wisdom.bergamot-spritz,Wisdom shown in Bergamot Spritz detail,Citrus and basil wake up a simple fresh plate. Light likes light.,,
pairing.wisdom.aki-sensei,Wisdom shown in Aki Sensei detail,All that citrus resets your mouth between bites of cheese.,,
pairing.wisdom.aloe-you-vera-much,Wisdom shown in Aloe You Vera Much detail,Fresh and green it stays out of the way of a simple plate and refreshes between bites.,,
pairing.wisdom.basil-smash,Wisdom shown in Basil Smash detail,Basil in the glass basil on the pizza they were always going to get along.,,
pairing.wisdom.afro-hu-pak,Wisdom shown in Afro-Hu Pak detail,Acidity balances the fat and the warmth matches an intense savory slice.,,
pairing.wisdom.hugo,Wisdom shown in Hugo detail,Light and herbal it keeps a fresh pizza tasting fresh.,,
pairing.wisdom.limoncello-spritz,Wisdom shown in Limoncello Spritz detail,Lemon cuts grease and the sweetness softens a little chili heat.,,
pairing.wisdom.lychee-spritz,Wisdom shown in Lychee Spritz detail,Floral and soft it cools a slice down and likes the lighter plates.,,
pairing.wisdom.brothers-spritz,Wisdom shown in Brothers Spritz detail,Passion fruit is sweet enough to calm a little chili heat.,,
pairing.wisdom.valle-e-dardhes,Wisdom shown in Vallë E Dardhës detail,Pear and lime stay soft so they sit beside a fresh plate without a fight.,,
pairing.wisdom.miss-lavander,Wisdom shown in Miss Lavander detail,Delicate and floral it likes a light plate that will not shout over it.,,
pairing.wisdom.pornstar-martini,Wisdom shown in Pornstar Martini detail,Sweet and exotic it softens heat and salt at the same time.,,
pairing.wisdom.tiki-tonka,Wisdom shown in Tiki Tonka detail,Tropical and strong it can take on smoke and spice.,,
pairing.wisdom.brothers-mule,Wisdom shown in Brothers Mule detail,Ginger and ice cool things off so a heavy savory plate feels easy.,,
pairing.wisdom.tierra-del-fuego,Wisdom shown in Tierra Del Fuego detail,Heat meets heat or let the cheese cool it down your call.,,
pairing.wisdom.virgin-hugo,Wisdom shown in Virgin Hugo detail,All the lift of the Hugo same love for a fresh pizza.,,
pairing.wisdom.passion-pop,Wisdom shown in Passion Pop detail,Bright and tropical it cools a spicy bite.,,
pairing.wisdom.red-kiss,Wisdom shown in Red Kiss detail,Sweet and simple it keeps good company with a light savory plate.,,
pairing.wisdom.hibiscus-ruby,Wisdom shown in Hibiscus Ruby detail,Tart and ruby it freshens up anything savory and likes cheese.,,
,,,,
# FOOD PAIRING WHY — cocktail_dish_pair.why_i18n,,,,
# One string per dish. Shown in food detail sheet above the paired cocktail list.,,,,
# These do NOT contain dish name placeholders — they are standalone.,,,,
,,,,
pairing.why.margherita,Why shown in Margherita detail,Light and fresh so the glass stays light and fresh too.,,
pairing.why.capricciosa,Why shown in Capricciosa detail,Bitter and bubbles cut straight through the loaded toppings.,,
pairing.why.4-formaggi,Why shown in 4 Formaggi detail,Bitter cuts the fat sour loves cheese bubbles cleanse.,,
pairing.why.diavola,Why shown in Diavola detail,Sweet calms the chili heat.,,
pairing.why.deliziosa,Why shown in Deliziosa detail,Light and herbal next to a fresh simple plate.,,
pairing.why.cotto-e-funghi,Why shown in Cotto e Funghi detail,The umami of mushroom finds the bitter.,,
pairing.why.americana,Why shown in Americana detail,Bitter bubbles and a little sour cut the fat.,,
pairing.why.bi-bi,Why shown in Bi-Bi detail,Light and fresh so the glass keeps it light.,,
pairing.why.classic-burger,Why shown in Classic Burger detail,Bitter cuts the fat and one long drink cleanses.,,
pairing.why.chicken-burger,Why shown in Chicken Burger detail,Lighter meat asks for lighter fresher glasses.,,
pairing.why.brothers-burger,Why shown in Brother's Burger detail,Smoky and rich so intense bitter and sour stand up to it.,,
pairing.why.finger-food-mix,Why shown in Finger Food Mix detail,Aperitivo bubbles and one sweet for the table.,,
pairing.why.cured-meats-cheese-platter,Why shown in Cured Meats & Cheese Platter detail,Bitter cuts the fat sour loves the cheese.,,
